"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
5	2495000	12923	116	241	1972	21508	2610	"Rakkehus"	2011-05-06	123	TRUE	TRUE	FALSE	TRUE
5	3200000	17448	141	1164	1968	22695	2750	"Hus"	2011-05-07	360	FALSE	FALSE	FALSE	TRUE
5	2495000	13871	116	262	1972	21508	2610	"Rakkehus"	2011-05-07	31	TRUE	TRUE	TRUE	TRUE
4	3375000	18284	124	693	1967	27217	2720	"Hus"	2011-05-08	313	FALSE	FALSE	FALSE	TRUE
5	1995000	11453	102	929	1960	19558	2610	"Hus"	2011-05-08	352	FALSE	FALSE	FALSE	FALSE
4	2395000	11958	95	385	1987	25210	2610	"Rakkehus"	2011-05-08	108	TRUE	TRUE	FALSE	TRUE
3	2495000	12497	75	377	1943	33266	2610	"Rakkehus"	2011-05-10	114	TRUE	TRUE	FALSE	TRUE
5	3400000	18564	157	847	1976	21656	2610	"Hus"	2011-05-11	57	TRUE	TRUE	TRUE	TRUE
5	2195000	11710	113	546	1939	19424	2610	"Hus"	2011-05-12	1005	FALSE	FALSE	FALSE	FALSE
4	2700000	14386	144	812	1953	18750	2750	"Hus"	2011-05-12	158	FALSE	FALSE	FALSE	FALSE
5	3895000	19678	143	863	2001	27237	2750	"Hus"	2011-05-12	230	FALSE	FALSE	FALSE	FALSE
2	895000	4769	35	73	1971	25571	2610	"Rakkehus"	2011-05-12	547	FALSE	FALSE	FALSE	FALSE
6	5350000	27532	143	578	1929	37412	2720	"Hus"	2011-05-13	10	TRUE	TRUE	TRUE	TRUE
4	2295000	11397	114	193	2001	20131	2750	"Rakkehus"	2011-05-13	322	FALSE	FALSE	FALSE	TRUE
5	2495000	13003	152	500	1965	16414	2750	"Hus"	2011-05-14	458	FALSE	FALSE	FALSE	TRUE
5	3495000	18693	145	705	1932	24103	2720	"Hus"	2011-05-15	240	FALSE	FALSE	FALSE	FALSE
4	3995000	20498	153	701	1975	26111	2750	"Hus"	2011-05-15	141	TRUE	TRUE	FALSE	TRUE
3	3095000	15382	94	282	2003	32925	2610	"Rakkehus"	2011-05-16	302	FALSE	FALSE	FALSE	FALSE
5	2695000	14474	124	613	1971	21733	2610	"Hus"	2011-05-18	126	TRUE	TRUE	FALSE	TRUE
5	2395000	13554	139	829	1955	17230	2610	"Hus"	2011-05-18	132	TRUE	TRUE	FALSE	TRUE
3	1998000	12384	72	547	1934	27750	2720	"Hus"	2011-05-19	335	FALSE	FALSE	FALSE	TRUE
3	3195000	16690	92	618	1951	34728	2610	"Hus"	2011-05-19	10	TRUE	TRUE	TRUE	TRUE
5	2999000	15045	120	726	1959	24991	2610	"Hus"	2011-05-19	249	FALSE	FALSE	FALSE	FALSE
6	2675000	14203	126	976	1953	21230	2610	"Hus"	2011-05-19	415	FALSE	FALSE	FALSE	TRUE
4	2995000	16352	112	721	1968	26741	2750	"Hus"	2011-05-19	107	TRUE	TRUE	FALSE	TRUE
